Air Tmp (C) M 60 Min,QNH (hPa) M,RH (%) M 60 Min,WS 60 Min (kt) M
23.43,1009.72,98.2,3.0
24.87,1013.06,80.2,4.0
23.96,1008.08,97.4,3.0
28.63,1005.64,72.3,8.0
24.26,1005.56,97.9,2.0
23.93,1010.03,94.2,4.0
32.99,1007.22,53.5,6.0
31.04,1007.73,61.3,8.0
25.96,1011.04,90.4,3.0
25.02,1008.2,92.9,3.0
24.66,1014.26,86.4,4.0
23.1,1012.47,97.4,2.0
30.35,1011.25,64.7,7.0
24.88,1008.13,95.8,3.0
23.92,1009.78,95.4,2.0
30.45,1011.33,64.4,6.0
25.13,1010.37,92.2,2.0
23.63,1006.42,99.4,2.0
25.11,1009.89,91.4,2.0
25.29,1008.1,91.4,4.0
23.84,1010.87,97.3,2.0
31.98,1006.25,60.6,9.0
22.82,1009.18,99.7,1.0
23.84,1007.07,97.1,4.0
23.25,1010.1,95.4,9.0
23.09,1011.38,98.4,1.0
22.84,1008.95,100.0,10.0
27.39,1010.43,82.2,4.0
27.98,1011.15,81.9,3.0
22.85,1009.65,95.0,2.0
31.32,1008.44,62.4,5.0
27.6,1007.05,85.2,3.0
24.2,1009.76,91.6,2.0
30.43,1007.22,63.2,2.0
24.62,1010.81,90.2,4.0
27.65,1010.32,74.2,2.0
33.71,1007.86,49.2,4.0
25.41,1011.35,94.9,2.0
23.95,1007.42,96.3,4.0
26.2,1008.23,89.5,1.0
25.81,1009.04,86.7,2.0
25.14,1008.2,91.1,3.0
30.81,1010.22,63.8,6.0
33.29,1005.52,56.7,5.0
28.27,1010.44,82.0,6.0
26.98,1009.93,87.0,2.0
23.49,1007.79,98.4,1.0
22.71,1012.77,90.3,2.0
25.89,1010.03,93.5,7.0
26.46,1008.77,84.0,4.0
24.2,1009.4,96.1,2.0
29.9,1007.51,71.2,5.0
25.15,1013.79,87.6,4.0
28.18,1011.48,69.9,6.0
24.39,1008.5,97.1,3.0
27.02,1013.98,77.2,6.0
24.48,1013.18,90.5,3.0
29.52,1011.29,69.2,6.0
31.01,1007.02,63.8,10.0
22.98,1011.58,97.5,4.0
29.75,1008.11,68.3,2.0
30.5,1007.25,69.3,7.0
23.78,1009.35,92.2,2.0
24.38,1011.92,96.8,4.0
22.62,1010.3,95.5,1.0
25.09,1008.29,93.1,2.0
25.76,1009.61,88.9,3.0
25.59,1010.55,89.8,3.0
26.57,1011.46,82.9,3.0
25.46,1008.0,90.0,3.0
29.72,1011.07,55.9,8.0
28.31,1009.86,68.2,9.0
22.51,1009.97,96.6,1.0
29.15,1008.91,70.6,7.0
29.34,1009.97,68.7,5.0
24.74,1011.08,90.5,4.0
24.08,1012.13,96.5,4.0
23.66,1008.57,98.6,2.0
29.79,1007.32,73.5,3.0
30.04,1008.91,71.1,10.0
29.14,1010.77,75.9,8.0
25.08,1010.24,92.4,2.0
24.36,1011.32,94.5,2.0
22.62,1010.16,98.8,2.0
23.39,1010.1,96.9,2.0
24.17,1008.53,98.9,1.0
24.38,1010.43,94.5,3.0
24.11,1011.45,97.0,1.0
30.62,1007.01,61.0,8.0
26.88,1007.45,84.8,3.0
28.45,1008.67,71.3,8.0
22.24,1009.69,99.6,1.0
26.41,1011.08,88.4,4.0
25.4,1009.89,91.8,2.0
25.37,1010.73,80.5,3.0
26.67,1007.89,83.4,4.0
29.19,1008.88,67.1,6.0
32.08,1003.34,59.5,6.0
24.69,1011.92,87.5,3.0
31.96,1006.52,62.4,9.0
26.48,1009.01,86.3,4.0
22.31,1009.06,94.2,1.0
24.83,1012.7,91.2,2.0
30.16,1007.05,64.5,7.0
32.0,1009.49,53.7,7.0
28.23,1009.76,84.0,3.0
29.89,1008.02,68.7,3.0
23.22,1009.65,97.2,1.0
27.55,1010.0,80.6,7.0
25.48,1010.64,91.1,3.0
24.16,1010.1,90.0,5.0
25.02,1009.86,92.5,2.0
23.81,1008.05,96.7,2.0
28.78,1006.14,78.8,6.0
25.54,1008.37,91.2,3.0
22.93,1010.24,100.0,6.0
31.37,1008.33,62.6,5.0
24.56,1010.35,95.0,6.0
28.45,1005.45,76.1,4.0
28.52,1008.44,79.0,5.0
26.94,1008.77,84.8,4.0
25.98,1008.16,87.7,4.0
30.66,1009.3,65.2,6.0
24.14,1006.34,95.8,3.0
23.84,1009.01,98.5,2.0
28.47,1011.79,72.9,7.0
23.62,1010.77,98.9,2.0
23.85,1008.81,97.6,2.0
28.95,1008.95,73.2,7.0
23.12,1010.4,98.1,1.0
31.21,1009.89,61.3,3.0
29.06,1008.42,71.2,8.0
23.21,1008.74,97.5,3.0
29.45,1010.91,69.1,5.0
23.22,1009.52,99.0,1.0
29.94,1005.74,66.9,10.0
29.02,1006.83,74.1,6.0
25.36,1010.37,96.2,4.0
22.45,1011.21,98.9,2.0
31.82,1008.19,58.2,7.0
25.91,1010.73,90.1,2.0
24.95,1007.86,93.3,2.0
24.16,1012.74,83.3,4.0
29.43,1009.99,73.3,2.0
23.14,1009.85,99.9,3.0
24.34,1008.64,99.9,3.0
23.24,1009.62,93.8,2.0
30.66,1007.35,62.5,2.0
23.58,1010.67,99.4,4.0
24.62,1007.72,98.9,2.0
24.52,1009.76,97.9,3.0
25.33,1011.25,93.6,1.0
24.2,1008.33,100.0,2.0
24.02,1010.91,95.1,5.0
24.39,1011.08,96.0,1.0
23.73,1005.66,99.1,2.0
31.28,1008.54,66.0,9.0
27.06,1008.16,85.5,7.0
29.0,1011.53,79.0,7.0
23.21,1009.8,98.0,1.0
22.87,1009.76,96.6,12.0
28.66,1008.27,70.8,5.0
22.68,1008.99,96.1,2.0
24.82,1009.49,93.8,2.0
23.22,1012.43,94.1,2.0
30.6,1006.88,67.9,5.0
23.59,1008.33,94.2,1.0
28.73,1009.37,75.3,3.0
23.44,1008.57,99.7,1.0
23.27,1009.82,98.6,3.0
24.78,1012.87,76.9,2.0
23.84,1013.49,92.8,2.0
24.35,1010.2,99.4,1.0
26.08,1013.08,82.7,4.0
24.19,1008.98,97.1,1.0
23.81,1010.35,94.3,2.0
31.41,1007.53,69.1,2.0
25.0,1012.94,87.6,5.0
30.23,1012.06,65.0,6.0
24.59,1011.15,90.4,4.0
23.08,1009.76,97.7,1.0
24.49,1007.94,94.7,4.0
25.08,1007.71,95.0,2.0
26.61,1007.22,85.0,1.0
28.0,1013.04,72.7,6.0
30.55,1005.18,64.1,9.0
25.41,1008.53,94.4,3.0
29.3,1012.67,73.0,7.0
23.54,1009.82,97.0,3.0
29.75,1007.39,71.0,6.0
25.83,1009.32,89.3,5.0
22.7,1011.99,98.5,2.0
30.44,1010.71,63.7,7.0
25.67,1011.5,88.0,3.0
24.0,1006.89,93.4,2.0
23.57,1009.72,95.5,2.0
28.78,1010.54,78.9,3.0
24.65,1009.82,96.0,1.0
25.3,1009.17,94.0,2.0
26.87,1010.49,83.7,1.0
23.77,1008.93,97.9,1.0
24.0,1008.6,99.9,2.0
25.71,1010.07,87.2,5.0
24.76,1012.1,87.7,4.0
