Date and Time;Air Tmp (C) M 60 Min;Precip 1Hr (mm) M;QNH (hPa) M;RH (%) M 60 Min;WS 60 Min (kt) M;klasifikasi
18/01/2023 11:00:00;23,98;29,7;1008,52;100;3;rain
18/01/2023 10:00:00;24,28;29,5;1008,05;95;7;rain
22/12/2022 23:00:00;22,5;23,5;1009,32;100;9;rain
27/01/2023 02:00:00;22,81;21,9;1010,84;98,1;3;rain
15/12/2022 11:00:00;24,43;19,9;1007,58;94,6;10;rain
22/12/2022 22:00:00;22,84;18,7;1008,95;100;10;rain
20/01/2023 11:00:00;24,19;16,5;1008,21;96,2;4;rain
12/2/2023 5:00;25,36;15;1009,5;94,3;3;rain
15/12/2022 08:00:00;26,65;14,3;1005,22;87,1;6;rain
12/2/2023 4:00;23,46;14,3;1010,67;95,4;4;rain
29/01/2023 02:00:00;22,87;14;1009,76;96,6;12;rain
15/12/2022 07:00:00;27,5;13,4;1005,52;82,3;8;rain
22/12/2022 20:00:00;23,05;13,4;1006,84;100;6;rain
29/01/2023 01:00:00;22,92;12,5;1010,06;98,3;11;rain
22/12/2022 19:00:00;22,87;11,4;1007,17;99,8;8;rain
27/01/2023 01:00:00;23,11;11,1;1011,35;98,9;9;rain
12/12/2022 5:00;25,2;10,9;1010,45;92,8;8;rain
12/2/2023 11:00;23,06;10,9;1011,4;98,2;5;rain
14/12/2022 08:00:00;27,6;10;1007,05;85,2;3;rain
20/01/2023 10:00:00;23,67;9,4;1007,84;94,6;13;rain
7/1/2023 8:00;24,49;9;1007,94;94,7;4;rain
12/2/2023 10:00;22,55;8,3;1010,3;96,7;4;rain
7/1/2023 7:00;26,06;8,2;1008,93;89,6;10;rain
20/01/2023 14:00:00;24,52;6,9;1011,43;99,6;3;rain
4/1/2023 23:00;23,4;6,3;1010,37;98,4;2;rain
20/01/2023 13:00:00;23,87;6,2;1010,51;99;3;rain
26/01/2023 20:00:00;24,05;5,1;1007,11;96,3;1;rain
26/01/2023 19:00:00;23,97;5;1007,42;97,5;3;rain
9/12/2022 17:00;24,1;4,7;1009,53;95,3;3;rain
12/12/2022 4:00;27,8;4,6;1010,37;79,5;8;rain
2/2/2023 11:00;24,33;4,5;1007,72;96,7;4;rain
8/1/2023 8:00;25,68;4,4;1009,05;85,1;9;rain
26/01/2023 23:00:00;24,06;4,3;1008,94;99;2;rain
12/12/2022 8:00;25,35;4,1;1008,81;94,2;6;rain
4/1/2023 22:00;23,56;3,8;1009,86;97,7;2;rain
13/01/2023 07:00:00;29,41;3,8;1009,18;78,9;8;rain
13/01/2023 08:00:00;29,7;3,8;1008,5;73,4;9;rain
26/01/2023 22:00:00;23,97;3,4;1008,24;98,7;1;rain
10/12/2022 2:00;24,38;3,3;1011,92;96,8;4;rain
2/2/2023 10:00;24,5;3,2;1007,72;94,1;3;rain
15/12/2022 17:00:00;23,04;2,9;1009,28;98,9;3;rain
15/02/2023 07:00:00;25,72;2,8;1009,24;87,3;12;rain
15/02/2023 08:00:00;25,81;2,8;1008,16;89;8;rain
8/12/2022 8:00;26,01;2,5;1006,3;90,5;2;rain
15/12/2022 14:00:00;23,52;2,4;1009,64;97,4;2;rain
5/1/2023 23:00;24,35;2,4;1010,2;99,4;1;rain
26/01/2023 13:00:00;25,08;2,4;1008,59;90,5;4;rain
26/01/2023 14:00:00;24,68;2,4;1009,42;93,7;2;rain
5/1/2023 22:00;24,29;2,3;1009,69;98,9;1;rain
23/01/2023 23:00:00;24,29;2,1;1007,76;99,1;2;rain
30/01/2023 11:00:00;25,14;2,1;1006,98;93,6;2;rain
9/12/2022 20:00;23,86;2;1008,83;98,6;3;rain
15/12/2022 16:00:00;23,27;2;1009,82;98,6;3;rain
9/12/2022 16:00;25,43;1,9;1010,08;95,1;3;rain
23/12/2022 04:00:00;25,87;1,9;1010,83;80,9;7;rain
23/12/2022 05:00:00;25,66;1,9;1010,28;86,4;5;rain
1/2/2023 20:00;23,15;1,9;1008,3;97,8;2;rain
8/12/2022 7:00;25,45;1,8;1006,76;92,2;2;rain
23/01/2023 22:00:00;24,34;1,7;1007,54;98,1;2;rain
30/01/2023 10:00:00;25,67;1,7;1006,54;90;3;rain
21/12/2022 20:00:00;23,79;1,6;1006,81;95,2;2;rain
28/01/2023 14:00:00;23,71;1,6;1008,1;96,2;4;rain
14/02/2023 05:00:00;30,66;1,6;1009,3;65,2;6;rain
13/12/2022 14:00:00;26,29;1,5;1011,21;93,4;2;rain
15/12/2022 13:00:00;23,34;1,5;1008,71;97,2;3;rain
30/01/2023 20:00:00;23,93;1,5;1007,11;98,3;2;rain
23/12/2022 02:00:00;24,27;1,4;1010,73;95,4;6;rain
4/1/2023 11:00;23,59;1,4;1009,55;93,5;5;rain
13/02/2023 11:00:00;24,2;1,4;1009,76;91,6;2;rain
21/12/2022 19:00:00;23,84;1,3;1007,07;97,1;4;rain
23/12/2022 01:00:00;22,93;1,3;1010,24;100;6;rain
4/1/2023 10:00;24,98;1,3;1009,65;85,6;9;rain
4/12/2022 23:00;23,61;1,1;1010,06;98,6;2;rain
10/12/2022 1:00;24,06;1,1;1011,72;97,4;4;rain
18/01/2023 14:00:00;24,29;1,1;1012,02;95,3;4;rain
28/01/2023 13:00:00;24,1;1,1;1006,84;94,4;7;rain
30/01/2023 14:00:00;24,45;1,1;1009,93;97,2;2;rain
30/01/2023 19:00:00;23,91;1,1;1007,86;97,6;2;rain
31/01/2023 14:00:00;24,03;1;1009,49;95,1;1;rain
12/12/2022 7:00;25,41;0,9;1008,53;94,4;3;rain
30/01/2023 08:00:00;28,45;0,9;1005,45;76,1;4;rain
30/01/2023 13:00:00;24,49;0,9;1009,25;97;3;rain
15/12/2022 20:00:00;22,5;0,8;1007,96;98,1;3;rain
31/01/2023 17:00:00;23,64;0,8;1009,28;97;1;rain
2/2/2023 14:00;24,06;0,8;1010,13;98,8;3;rain
12/2/2023 8:00;25,61;0,8;1009,03;88,6;11;rain
23/12/2022 08:00:00;23,58;0,7;1008,2;90,5;5;rain
8/1/2023 1:00;24,11;0,7;1012,5;100;3;rain
8/1/2023 2:00;25,3;0,7;1012,57;97,8;3;rain
24/01/2023 14:00:00;24,5;0,7;1008,4;97,4;2;rain
2/2/2023 13:00;24,32;0,7;1009,32;98;2;rain
12/1/2023 10:00;27,05;0,6;1008,64;79,7;6;rain
12/1/2023 11:00;26,32;0,6;1008,67;85,2;3;rain
19/01/2023 20:00:00;24,47;0,6;1009,45;98,2;2;rain
24/01/2023 13:00:00;24,84;0,6;1007,79;95,4;4;rain
31/01/2023 13:00:00;24,22;0,6;1008,16;94,4;3;rain
31/01/2023 16:00:00;23,8;0,6;1009,69;96,5;3;rain
1/2/2023 19:00;23,21;0,6;1008,74;97,5;3;rain
3/2/2023 14:00;25,52;0,6;1009,15;93,4;4;rain
13/02/2023 10:00:00;25,38;0,6;1009,01;85,1;4;rain
13/12/2022 13:00:00;26,85;0,5;1010,61;89,2;2;rain
24/01/2023 01:00:00;25,03;0,5;1009,01;95,5;1;rain
24/01/2023 02:00:00;26,94;0,5;1009,15;86,6;2;rain
31/01/2023 11:00:00;25,06;0,5;1007,15;92,3;2;rain
1/2/2023 17:00;23,39;0,5;1010,1;96,9;2;rain
